=,&equals;
\Pi,&Pi;
\rho,&rho;
\varrho,&rhov;
\sigma,&sigma;
\Sigma,&Sigma;
\varsigma,&sigmav;
\tau,&tau;
\upsilon,&upsi;
\Upsilon,&Upsi;
\phi,&phis;
\Phi,&Phi;
\varphi,&phiv;
\chi,&chi;
\psi,&psi;
\Psi,&Psi;
\omega,&omega;
\Omega,&Omega;
\boldsymbol{\alpha},&b.alpha;
\boldsymbol{\beta},&b.beta;
\boldsymbol{\gamma},&b.gamma;
\boldsymbol{\Gamma},&b.Gamma;
\boldsymbol{\digamma},&b.gammad;
\boldsymbol{\delta},&b.delta;
\boldsymbol{\Delta},&b.Delta;
\boldsymbol{\epsilon},&b.epsi;
\boldsymbol{\varepsilon},&b.epsiv;
\boldsymbol{\epsilon},&b.epsis;
\boldsymbol{\zeta},&b.zeta;
\boldsymbol{\eta},&b.eta;
\boldsymbol{\theta},&b.thetas;
\boldsymbol{\Theta},&b.Theta;
\boldsymbol{\vartheta},&b.thetav;
\boldsymbol{\iota},&b.iota;
\boldsymbol{\kappa},&b.kappa;
\boldsymbol{\varkappa},&b.kappav;
\boldsymbol{\lambda},&b.lambda;
\boldsymbol{\Lambda},&b.Lambda;
\boldsymbol{\mu},&b.mu;
\boldsymbol{\nu},&b.nu;
\boldsymbol{\xi},&b.xi;
\boldsymbol{\Xi},&b.Xi;
\boldsymbol{\pi},&b.pi;
\boldsymbol{\Pi},&b.Pi;
\boldsymbol{\varpi},&b.piv;
\boldsymbol{\rho},&b.rho;
\boldsymbol{\varrho},&b.rhov;
\boldsymbol{\sigma},&b.sigma;
\boldsymbol{\Sigma},&b.Sigma;
\boldsymbol{\varsigma},&b.sigmav;
\boldsymbol{\tau},&b.tau;
\boldsymbol{\upsilon},&b.upsi;
\boldsymbol{\Upsilon},&b.Upsi;
\boldsymbol{\phi},&b.phis;
\boldsymbol{\Phi},&b.Phi;
\boldsymbol{\varphi},&b.phiv;
\boldsymbol{\chi},&b.chi;
\boldsymbol{\psi},&b.psi;
\boldsymbol{\Psi},&b.Psi;
\boldsymbol{\omega},&b.omega;
\boldsymbol{\Omega},&b.Omega;
\angle,&ang;
\measuredangle,&angmsd;
\beth,&beth;
{^\backprime},&bprime;
\complement,&comp;
\daleth,&daleth;
\ell,&ell;
\emptyset,&empty;
\gimel,&gimel;
\Im,&image;
